Epc,reflist_run_id,slice_id_IN,in_IN,out_IN,order_IN,slice_id_OUT,in_OUT,out_OUT,order_OUT,refListId_actual,Q refListId_actual,pred_ana_bool,Nombre de lectures
epc_80,4_17,up_2,-48.0,-59.0,2,up_0,-110.0,-41.0,0,4,10,True,34
epc_80,4_19,mid_0,-47.0,-110.0,3,up_1,-57.0,-43.0,1,4,10,True,34
epc_80,4_2,mid_0,-44.0,-110.0,3,up_1,-60.0,-41.0,1,4,10,True,34
epc_80,4_20,up_2,-51.0,-58.0,2,up_0,-66.0,-40.0,0,4,10,True,34
epc_80,4_21,mid_0,-42.0,-66.0,3,up_2,-54.0,-53.0,2,4,10,True,34
epc_80,4_22,up_1,-54.0,-57.0,1,up_0,-110.0,-41.0,0,4,10,True,34
epc_80,4_24,up_1,-59.0,-62.0,1,up_0,-110.0,-41.0,0,4,10,True,34
epc_80,4_25,mid_0,-47.0,-71.0,3,up_1,-62.0,-42.0,1,4,10,True,34
epc_80,4_26,mid_0,-44.0,-62.0,3,up_1,-55.0,-47.0,1,4,10,True,34
epc_80,4_27,up_2,-49.0,-59.0,2,up_1,-64.0,-42.0,1,4,10,True,34
epc_80,4_28,mid_0,-43.0,-62.0,3,up_1,-54.0,-45.0,1,4,10,True,34
epc_80,4_29,up_2,-44.0,-110.0,2,up_1,-65.0,-43.0,1,4,10,True,34
epc_80,4_3,mid_0,-47.0,-110.0,3,up_1,-56.0,-43.0,1,4,10,True,34
epc_80,4_30,mid_0,-43.0,-63.0,3,up_1,-60.0,-46.0,1,4,10,True,34
